id,company_name,industry_category,address,email,phone,website,linkedin,youtube,instagram,facebook,twitter,products_services,company_profile
1,"Karl-Heinz Mauz GmbH EKULIT Elektrotechnik","Speaker, transducer and piezobuzzer","Felix-Wankel-Strasse 35, 73760 Ostfildern, Germany",info@ekulit.de,"0049 711 3414023",http://www.ekulit.de/,Nill,Nill,Nill,Nill,Nill,"Medical electronics (M), Geared motors, Micro gears, DC motors (standard, up to 300 W), Configured cable / connector combinations for household equipment, Configured cable / connector combinations for industrial electronics, , , , , , , , , , ","Speaker, transducer and piezobuzzer"
2,1oT,"Effortless cellular connectivity management for IoT and M2M companies.","Järvevana tee 7b, 10112 Tallinn, Estonia",kristi.rist@1ot.com,"00372 55 925370",https://www.1ot.com/,https://www.linkedin.com/company/1ot,https://www.youtube.com/@1ot890,https://www.instagram.com/team_1ot/,https://www.facebook.com/1ot.mobi/,Nill,"Internet of Things (IoT) (I), Wireless (W), Telematics, 5G, LTE, Wireless IoT","Effortless cellular connectivity management for IoT and M2M companies."
3,"2B Elettronica SRL","Via Aurelia 424, 00165 Roma, Italy
www.2belettronica.it","Via Aurelia 424, 00165 Roma, Italy",Nill,Nill,http://www.2belettronica.it/,Nill,Nill,Nill,Nill,Nill,,"Via Aurelia 424, 00165 Roma, Italy
www.2belettronica.it"
4,2Connect,"2Connect offers interconnection solutions with in-house production worldwide.","Gompenstraat 17, 5145RM Waalwijk, Netherlands",sales@2-connect.com,"0031 41 6671780",https://www.2-connect.com/,https://www.linkedin.com/company/2connect-b-v-/,Nill,Nill,https://www.facebook.com/2ConnectBV/,Nill,"Automation (A), Connectors; Plugs; Interconnects; Cable; Wire, Electronic Hardware; Fixtures and Supplies, Energy Efficiency: High voltage solutions, Equipment; Hardware; Product Design, Integration and Manufacturing","2Connect offers interconnection solutions with in-house production worldwide."
5,"2E mechatronic GmbH & Co. KG","Plastic hybrids such as sensor housings or connectors, MID, inclination sensors","Maria-Merian-Str. 29, 73230 Kirchheim unter Teck, Germany",info@2e-mechatronic.de,"0049 7021 9301-0",https://www.2e-mechatronic.de/,Nill,https://www.youtube.com/user/2Emechatronic,Nill,https://www.facebook.com/2Emechatronic/,Nill,"Electro-Mobility (E), Power Electronics and Energy Technology (PE), Plastic housings, application-specific, PCB connectors, 3D-MID circuit boards, Capacitive","Plastic hybrids such as sensor housings or connectors, MID, inclination sensors"
6,"2J Antennas","2J Antennas - worldwide supplier of high-efficiency, premium quality antennas.","Stefanikova 61, 085 01 Bardejov, Slovak Republic",sales@2j-antennas.com,"00421 54 4880135",https://www.2j-antennas.com/,https://www.linkedin.com/company/2j-antennas/,Nill,Nill,Nill,Nill,"5G/6G (G), Wireless (W), 5G, LTE, Antennas, RF assemblies, miscellaneous","2J Antennas - worldwide supplier of high-efficiency, premium quality antennas."
7,"2Pai Semiconductor Co., Ltd.","company provide digital isolators, drivers, interfaces, samplers products etc.","Room 401/402, 4th Floor, Building Y1, No. 112 Liangxiu Road, Pudong New Area, 201210 Shanghai, China",sales@rpsemi.com,"0086 21 4006790809",https://www.rpsemi.com/,Nill,Nill,Nill,Nill,Nill,"Electro-Mobility (E), Power Electronics and Energy Technology (PE), Amplifier ICs, miscellaneous, Digital / analog converter ICs, Driver ICs, Opto couplers","company provide digital isolators, drivers, interfaces, samplers products etc."
8,"2PCB Technology Ltd.","2PCB: original PCB manufacturer,32000㎡, Multilayers PCB,Rigid, Flex,HDI.","F/1-3, Bldg 3, Liansheng Industiral Park, Shangxing, Shajing Town, Baoan Dist., 518000 Shenzhen, China",mavis@2pcbtech.com,Nill,https://2pcbtechnology.com/,Nill,Nill,Nill,Nill,Nill,"Smart Home/Building/Infrastructure (SH), Power Electronics and Energy Technology (PE), Plated through-hole PCBs, PCBs with blind and buried vias, HDI PCBs, PCBs with thick copper","2PCB: original PCB manufacturer,32000㎡, Multilayers PCB,Rigid, Flex,HDI."
9,"3A Components Limited","Empowering humanity towards the stars, exploring the universe.","Flat A1-A7, 2/F., Pahsang Industrial Bldg., 16 Sun Onstreet, Tuen Mun, NT, 999077 Hong Kong, China",info@3acomponents.com,Nill,https://www.3acomponents.com/,Nill,Nill,Nill,Nill,Nill,"Automation (A), Power Electronics and Energy Technology (PE), Ethernet, Digital signal processors (DSP), FPGAs, Field effect transistors (MOSFETs)","Empowering humanity towards the stars, exploring the universe."
10,"3L Electronic Corp.","3F, No. 192, Sec. 2, Zhongxing Rd., Xindian Dist., New Taipei City 23146, Taiwan
www.3lcoil.com","3F, No. 192, Sec. 2, Zhongxing Rd., Xindian Dist., New Taipei City 23146, Taiwan",Nill,Nill,http://www.3lcoil.com/,Nill,Nill,Nill,Nill,Nill,,"3F, No. 192, Sec. 2, Zhongxing Rd., Xindian Dist., New Taipei City 23146, Taiwan
www.3lcoil.com"
